Country,Country_ID,City,IndicatorCode,Continent,Date,Prevalence,Disease_ID,Continent_Name,City_URL
Saint Lucia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17113,,https://w3id.org/ohboi#P125,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2004,0.016,http://purl.obolibrary.org/obo/DOID_3081,America,
Saint Vincent and the Grenadines,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17114,,https://w3id.org/ohboi#P143,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2003,0.024,http://purl.obolibrary.org/obo/DOID_3099,America,
Saint Vincent and the Grenadines,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17114,,https://w3id.org/ohboi#P194,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2000,0.029,http://purl.obolibrary.org/obo/DOID_3150,America,
Samoa,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17740,,https://w3id.org/ohboi#P66,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2019,0.011,http://purl.obolibrary.org/obo/DOID_3022,Australia,
Samoa,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17740,,https://w3id.org/ohboi#P152,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2003,0.019,http://purl.obolibrary.org/obo/DOID_3108,Australia,
Samoa,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17740,,https://w3id.org/ohboi#P166,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2002,0.022,http://purl.obolibrary.org/obo/DOID_3122,Australia,
San Marino,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17115,San Marino,https://w3id.org/ohboi#P3,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2021,0,http://purl.obolibrary.org/obo/DOID_2959,Europe,https://w3id.org/ohboi#San_Marino
San Marino,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17115,San Marino,https://w3id.org/ohboi#P25,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2020,0,http://purl.obolibrary.org/obo/DOID_2981,Europe,https://w3id.org/ohboi#San_Marino
San Marino,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17115,San Marino,https://w3id.org/ohboi#P72,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2018,0,http://purl.obolibrary.org/obo/DOID_3028,Europe,https://w3id.org/ohboi#San_Marino
Sao Tome and Principe,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17116,,https://w3id.org/ohboi#P15,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2021,0.218,http://purl.obolibrary.org/obo/DOID_2971,Africa,
